genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Sedum,glomerifolium,Sedum glomerifolium,Crassulaceae,correct,EN,confident,3000-3500,3000,3500,3250,500,NA,NA,25,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum,mooneyi,Sedum mooneyi,Crassulaceae,correct,VU,confident,3400-4100,3400,4100,3750,700,NA,NA,10954,text,72,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum,baleensis,Sedum baleensis,Crassulaceae,correct,EN,confident,2700-3400,2700,3400,3050,700,NA,NA,1213,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum,epidendrum,Sedum epidendrum,Crassulaceae,under,VU,confident,2500-3000,2500,3000,2750,500,"AR, GD, GJ, SU",text,119988,text,60,text,yes,not present,present,not present,present,not present,present,not present,not present,not present,not present,present,not present,not present,not present,4,0
Senecio,farinaceus,Senecio farinaceus,Asteraceae,under,VU,low_confidence,3600-4300,3600,4300,3950,700,"BA, GD, GJ, WU",text,87844,text,56,text,yes,not present,not present,present,present,not present,present,not present,not present,not present,not present,not present,not present,not present,present,4,0
Senecio,leptopterus,Senecio leptopterus,Asteraceae,correct,EN,confident,2230-3000,2230,3000,2615,770,NA,NA,8,infer,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio,balensis,Senecio balensis,Asteraceae,correct,EN,confident,3900-4100,3900,4100,4000,200,NA,NA,3693,text,24,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio,unionis,Senecio unionis,Asteraceae,correct,LC,low_confidence,3170-4050,3170,4050,3610,880,NA,NA,35000,text,124,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio,nanus,Senecio nanus,Asteraceae,correct,NT,low_confidence,3250-4100,3250,4100,3675,850,NA,NA,81142,text,76,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio,schultzii,Senecio schultzii,Asteraceae,correct,LC,low_confidence,3270-4375,3270,4375,3822.5,1105,NA,NA,145994,text,164,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio,ochrocarpus,Senecio ochrocarpus,Asteraceae,over,LC,low_confidence,2800-4000,2800,4000,3400,1200,"BA, HA, SD, SU, WU",text,172250,text,56,geocat (GBIF points),yes,not present,not present,present,not present,not present,not present,present,not present,not present,present,present,not present,not present,present,5,1
Senecio,fresenii,Senecio fresenii,Asteraceae,over,LC,low_confidence,1520-4300,1520,4300,2910,2780,"AR, BA, SU, GD, TU, WU",mapped,117194,text,36,geocat (GBIF points),yes,not present,present,present,present,not present,not present,not present,not present,not present,not present,present,present,not present,present,6,1
Senegalia,fumosa,Senegalia fumosa,Fabaceae,over,LC,confident,250-1200,250,1200,725,950,HA,text,8000,text,16,geocat (RL points),no,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,1,1
Senegalia,pseudonigrescens,Senegalia pseudonigrescens,Fabaceae,correct,CR,confident,300,300,300,300,0,NA,NA,55,text,7,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sesbania,melanocaulis,Sesbania melanocaulis,Fabaceae,correct,VU,confident,1550-1900,1550,1900,1725,350,NA,NA,153388,geocat (RL points),40,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene,scottii,Lychnis scottii,Caryophyllaceae,correct,VU,confident,2700-3300,2700,3300,3000,600,NA,NA,7706,text,8,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sisymbrium,maximum,Sisymbrium maximum,Brassicaceae,correct,EN,low_confidence,2200-3900,2200,3900,3050,1700,NA,NA,26162,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smithia,abyssinica,Smithia abyssinica,Fabaceae,correct,LC,low_confidence,1800-2450,1800,2450,2125,650,NA,NA,180341,text,44,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanecio,harennensis,Solanecio harennensis,Asteraceae,correct,CR,confident,1850,1850,1850,1850,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
